Trial,Seed,Parameters,Algorithm,Instance,Base,Flight Limit,Trucks Used,Trucks Submitted,Objective,Paper Makespan,Time,Flight Optimizer,Convergence Iterations,Convergence Count,Convergence First Objective,Convergence Final Objective,Convergence Improvement,Convergence Improvement Percent
91,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,3,3,2747.384144,2747.384144,220.076968,bc,initial@0;improvement@30;restart_elite@60;restart_elite@90;final_splitting@100,5,3020.833517,2747.384144,273.449373,9.052117
92,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,3,3,2815.387222,2815.387222,152.674756,bc,initial@0;improvement@9;restart_elite@39;restart_elite@69;improvement@89;final_splitting@100,6,3027.305512,2815.387222,211.918290,7.000228
93,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,3,3,2768.553014,2768.553014,191.934647,bc,initial@0;restart_new_pool@30;restart_elite@60;restart_elite@90;final_splitting@100,5,2877.578233,2768.553014,109.025220,3.788784
94,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,3,3,2672.348202,2672.348202,210.872892,bc,initial_pool@0;candidate1:splitting@1;candidate2:splitting@2,3,3020.833517,2672.348202,348.485315,11.536065
95,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,3,3,2710.069776,2710.069776,163.056345,bc,initial_pool@0;candidate1:lns@22;candidate1:candidate_vnd@200;candidate2:lns@87;candidate2:candidate_vnd@200;candidate5:lns@178;candidate5:candidate_vnd@200;candidate4:splitting@4,8,3027.305512,2710.069776,317.235736,10.479145
96,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,3,3,2683.246818,2683.246818,256.260835,bc,initial_pool@0;candidate1:splitting@1;candidate4:splitting@4,3,2877.578233,2683.246818,194.331415,6.753297
97,0,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,3,3,2678.646889,2678.646889,215.124795,bc,0;1,2,3020.833517,2678.646889,342.186627,11.327557
98,1,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,3,3,2834.275199,2834.275199,232.958567,bc,0;1,2,3027.305512,2834.275199,193.030313,6.376308
99,2,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,3,3,2768.553014,2768.553014,234.149743,bc,0;1,2,2877.578233,2768.553014,109.025220,3.788784
100,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,4,4,2252.919502,2252.919502,378.321542,bc,initial@0;restart_elite@30;improvement@36;restart_new_pool@66;restart_new_pool@96;final_splitting@100,6,2391.352527,2252.919502,138.433025,5.788901
101,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,4,4,2259.823406,2259.823406,313.848143,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,2259.823406,2259.823406,0.000000,0.000000
102,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,4,4,2362.961418,2362.961418,244.651662,bc,initial@0;restart_new_pool@30;restart_elite@60;restart_elite@90;final@100,5,2362.961418,2362.961418,0.000000,0.000000
103,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,4,4,2359.483093,2359.483093,260.898258,bc,initial_pool@0;candidate3:lns@84;candidate3:candidate_vnd@200;candidate4:splitting@4,4,2391.352527,2359.483093,31.869434,1.332695
104,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,4,4,2259.823406,2259.823406,122.765221,bc,initial_pool@0,1,2259.823406,2259.823406,0.000000,0.000000
105,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,4,4,2346.341229,2346.341229,136.393714,bc,initial_pool@0;candidate3:splitting@3,2,2362.961418,2346.341229,16.620190,0.703363
106,0,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,4,4,2359.483093,2359.483093,94.991756,bc,0;1,2,2391.352527,2359.483093,31.869434,1.332695
107,1,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,4,4,2259.823406,2259.823406,104.776685,bc,0;1,2,2259.823406,2259.823406,0.000000,0.000000
108,2,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,4,4,2362.160503,2362.160503,89.832412,bc,0;1,2,2362.961418,2362.160503,0.800915,0.033895
109,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_6_1.dat,20,783.000000,2,2,2914.457217,2914.457217,38.445095,bc,initial@0;improvement@5;restart_elite@35;restart_elite@65;restart_elite@95;final_splitting@100,6,3139.084586,2914.457217,224.627369,7.155824
